Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away,difference
Birmingham City,Fulham,2-2,https://www.besoccer.com/match/birmingham-city-fc/fulham/200020932,2000,1,championship,24,46,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,48,0
Blackburn Rovers,Port Vale,0-0,https://www.besoccer.com/match/blackburn-rovers-fc/port-vale/200020933,2000,1,championship,24,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,53,0
Charlton Athletic,Barnsley,3-1,https://www.besoccer.com/match/charlton-athletic-fc/barnsley-fc/200020934,2000,1,championship,24,46,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,58,2
Crystal Palace,Crewe Alexandra,1-1,https://www.besoccer.com/match/crystal-palace-fc/crewe-alexandra/200020935,2000,1,championship,24,46,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,46,0
Grimsby Town,Stockport County,0-1,https://www.besoccer.com/match/grimsby-town/stockport-county/200020936,2000,1,championship,24,46,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,54,-1
Ipswich Town,Nottingham Forest,3-1,https://www.besoccer.com/match/ipswich-town-fc/nottingham-forest-fc/200020937,2000,1,championship,24,46,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,2
Portsmouth,Sheffield United,2-0,https://www.besoccer.com/match/portsmouth/sheffield-united/200020938,2000,1,championship,24,46,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,61,2
Queens Park Rangers,Huddersfield Town,3-1,https://www.besoccer.com/match/queens-park-rangers-fc/huddersfield-town-fc/200020939,2000,1,championship,24,46,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,2
Tranmere Rovers,Bolton Wanderers,0-0,https://www.besoccer.com/match/tranmere-rovers/bolton-wanderers-fc/200020940,2000,1,championship,24,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,62,0
Walsall,Swindon Town,0-0,https://www.besoccer.com/match/walsall/swindon-town/200020941,2000,1,championship,24,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,52,0
